Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 71.56      5.36     5.36       11   487.27   576.36  eval_mm_valid
 12.42      6.29     0.93   616932     0.00     0.00  find_fit
  8.14      6.90     0.61    60985     0.01     0.01  add_range
  3.60      7.17     0.27    60985     0.00     0.00  remove_range
  1.87      7.31     0.14  3787788     0.00     0.00  find_list_index
  0.53      7.35     0.04   616932     0.00     0.00  place
  0.40      7.38     0.03   673920     0.00     0.00  coalesce
  0.40      7.41     0.03      110     0.27     9.36  eval_mm_speed
  0.27      7.43     0.02  1585428     0.00     0.00  PUTfree
  0.27      7.45     0.02  1585428     0.00     0.00  Popfree
  0.13      7.46     0.01   616932     0.00     0.00  mm_free
  0.13      7.47     0.01    56988     0.00     0.00  extend_heap
  0.13      7.48     0.01       11     0.91    10.00  eval_mm_util
  0.13      7.49     0.01       11     0.91     0.91  read_trace
  0.00      7.49     0.00   616932     0.00     0.00  mm_malloc
  0.00      7.49     0.00   115176     0.00     0.00  mm_realloc
  0.00      7.49     0.00      132     0.00     0.00  mm_init
  0.00      7.49     0.00       11     0.00     0.00  clear_ranges
  0.00      7.49     0.00       11     0.00     0.00  free_trace
  0.00      7.49     0.00       11     0.00    93.64  fsecs
  0.00      7.49     0.00       11     0.00    93.64  ftimer_gettod
  0.00      7.49     0.00        1     0.00     0.00  init_fsecs
  0.00      7.49     0.00        1     0.00     0.00  printresults


  Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 71.34      4.78     4.78       11   434.55   521.29  eval_mm_valid
 11.94      5.58     0.80   618312     0.00     0.00  find_fit
  9.10      6.19     0.61    60985     0.01     0.01  add_range
  3.88      6.45     0.26    60985     0.00     0.00  remove_range
  2.09      6.59     0.14  4170864     0.00     0.00  find_list_index
  0.60      6.63     0.04      110     0.36     8.02  eval_mm_speed
  0.37      6.66     0.03  1776276     0.00     0.00  PUTfree
  0.30      6.67     0.02   618312     0.00     0.00  place
  0.15      6.68     0.01   748776     0.00     0.00  coalesce
  0.15      6.70     0.01    57096     0.00     0.00  extend_heap
  0.07      6.70     0.01  1776276     0.00     0.00  Popfree
  0.00      6.70     0.00   618312     0.00     0.00  mm_free
  0.00      6.70     0.00   618312     0.00     0.00  mm_malloc
  0.00      6.70     0.00   115176     0.00     0.00  mm_realloc
  0.00      6.70     0.00      132     0.00     0.00  mm_init
  0.00      6.70     0.00       11     0.00     0.00  clear_ranges
  0.00      6.70     0.00       11     0.00     7.65  eval_mm_util
  0.00      6.70     0.00       11     0.00     0.00  free_trace
  0.00      6.70     0.00       11     0.00    80.15  fsecs
  0.00      6.70     0.00       11     0.00    80.15  ftimer_gettod
  0.00      6.70     0.00       11     0.00     0.00  read_trace
  0.00      6.70     0.00        1     0.00     0.00  init_fsecs
  0.00      6.70     0.00        1     0.00     0.00  printresults

  Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 83.05      5.34     5.34       11   485.45   565.08  eval_mm_valid
  8.86      5.91     0.57    60985     0.01     0.01  add_range
  4.51      6.20     0.29    60985     0.00     0.00  remove_range
  1.09      6.27     0.07   616932     0.00     0.00  find_fit
  0.62      6.31     0.04  3787788     0.00     0.00  find_list_index
  0.31      6.33     0.02  1585428     0.00     0.00  PUTfree
  0.31      6.35     0.02   616932     0.00     0.00  place
  0.31      6.37     0.02      110     0.18     1.62  eval_mm_speed
  0.16      6.38     0.01  1585428     0.00     0.00  Popfree
  0.16      6.39     0.01   673920     0.00     0.00  coalesce
  0.16      6.40     0.01   616932     0.00     0.00  mm_free
  0.16      6.41     0.01    56988     0.00     0.00  extend_heap
  0.16      6.42     0.01       11     0.91     2.35  eval_mm_util
  0.16      6.43     0.01                             _init
  0.00      6.43     0.00   616932     0.00     0.00  mm_malloc
  0.00      6.43     0.00   115176     0.00     0.00  mm_realloc
  0.00      6.43     0.00      132     0.00     0.00  mm_init
  0.00      6.43     0.00       11     0.00     0.00  clear_ranges
  0.00      6.43     0.00       11     0.00     0.00  free_trace
  0.00      6.43     0.00       11     0.00    16.21  fsecs
  0.00      6.43     0.00       11     0.00    16.21  ftimer_gettod
  0.00      6.43     0.00       11     0.00     0.00  read_trace
  0.00      6.43     0.00        1     0.00     0.00  init_fsecs
  0.00      6.43     0.00        1     0.00     0.00  printresults
